,Axis1,Axis2,Axis3,waist_vm_15,waist_vm_60,waist_cpm,waist_vm_cpm,waist_ee,waist_intensity
5135,350,794,715,1124.3491450612662,4497.396580245065,1400,4143,6.2859609613807494,2
5136,35,139,159,214.07241765346603,856.2896706138641,140,2353,0.15294622009569378,1
5137,1085,807,706,1525.42125329366,6101.68501317464,4340,2353,4.741332822966507,2
5138,191,361,303,508.53810083414595,2034.1524033365838,764,2353,0.8346493725222146,1
5139,42,95,18,105.41821474489122,421.67285897956486,168,2353,0.18353546411483251,1
5140,18,66,34,76.39371701913711,305.57486807654846,72,490,0.07865805604921394,1
5141,7,0,12,13.892443989449804,55.569775957799216,28,490,0.030589244019138755,1
5142,110,190,103,242.50567003680553,970.0226801472221,440,490,0.4806881203007519,1
5143,100,111,49,157.23231220076872,628.9292488030749,400,490,0.43698920027341076,1
5144,67,170,68,194.96922834129492,779.8769133651797,268,622,0.2927827641831852,1
5145,67,92,42,121.31364309095659,485.25457236382636,268,622,0.2927827641831852,1
5146,0,12,0,12.0,48.0,0,622,0.0,1
5147,160,213,124,293.8451973403683,1175.3807893614733,640,622,0.6991827204374573,1
5148,257,118,197,344.6476461547358,1378.5905846189432,1028,3959,2.9675513820345563,1
5149,10,35,7,37.067505985701274,148.2700239428051,40,3959,1.6584903054751452,1
5150,651,881,863,1394.5361235909236,5578.144494363694,2604,3959,7.435876742002972,2
5151,1742,945,915,2182.8453907686635,8731.381563074654,6968,3959,10.79092098311143,3
5152,0,33,65,72.89718787443039,291.58875149772155,0,1572,0.0,1
5153,420,756,772,1159.275635903731,4637.102543614924,1680,1572,1.8353546411483255,2
5154,188,280,45,340.24843864447047,1360.9937545778819,752,1572,0.8215396965140122,1
5155,0,0,0,0.0,0.0,0,1572,0.0,1
5156,118,0,108,159.9624956044385,639.849982417754,472,3436,2.1815313812924915,1
5157,28,259,216,338.4095152326542,1353.6380609306168,112,3436,2.941001896830177,1
5158,1583,880,794,1977.5553089610414,7910.221235844166,6332,3436,9.917206394938194,3
5159,253,582,721,960.507157703679,3842.028630814716,1012,3436,5.588649463186859,2
5160,305,27,248,394.0279177926356,1576.1116711705424,1220,992,1.332817060833903,1
5161,0,0,0,0.0,0.0,0,992,0.0,1
5162,37,0,28,46.400431032480725,185.6017241299229,148,992,0.161686004101162,1
5163,141,430,317,552.5124432987913,2210.049773195165,564,992,0.6161547723855092,1
5164,346,574,856,1087.1651208533135,4348.660483413254,1384,1122,1.5119826329460013,2
5165,0,0,0,0.0,0.0,0,1122,0.0,1
5166,0,0,0,0.0,0.0,0,1122,0.0,1
5167,0,35,0,35.0,140.0,0,1122,0.0,1
5168,0,40,0,40.0,160.0,0,933,0.0,1
5169,0,0,0,0.0,0.0,0,933,0.0,1
5170,66,397,251,474.305808524416,1897.223234097664,264,933,0.2884128721804511,1
5171,145,203,337,419.2886833674384,1677.1547334697536,580,933,0.6336343403964456,1
5172,41,43,71,92.57969539807311,370.31878159229245,164,1760,0.1791655721120984,1
5173,406,302,535,736.3864474581264,2945.5457898325058,1624,1760,1.774176153110048,2
5174,25,46,85,99.82985525382675,399.319421015307,100,1760,0.10924730006835269,1
5175,236,312,734,831.7427486909639,3326.9709947638557,944,1760,1.0312945126452495,2
5176,169,102,128,235.26368185506237,941.0547274202495,676,841,0.7385117484620644,1
5177,34,106,47,120.8345976945345,483.338390778138,136,841,0.14857632809295968,1
5178,300,187,261,439.42007236811565,1757.6802894724626,1200,841,1.3109676008202322,1
5179,8,36,28,46.3033476111609,185.2133904446436,32,841,0.034959136021872866,1
5180,60,89,23,109.77249200050075,439.089968002003,240,551,0.2621935201640465,1
5181,124,159,135,242.65613530261294,970.6245412104518,496,551,0.5418666083390294,1
5182,38,37,42,67.65352910233139,270.61411640932556,152,551,0.1660558961038961,1
5183,48,116,38,131.16401945655676,524.656077826227,192,551,0.20975481613123714,1
5184,174,170,85,257.6839149035112,1030.7356596140448,696,1751,0.7603612084757347,1
5185,43,26,10,51.234753829797995,204.93901531919198,172,1751,0.18790535611756665,1
5186,178,238,72,305.7973184970725,1223.18927398829,712,1751,0.7778407764866713,1
5187,447,841,621,1136.9832892351585,4547.933156940634,1788,1751,1.9533417252221463,2
5188,1159,935,1002,1794.8565402282156,7179.4261609128625,4636,4158,9.139640435211287,3
5189,108,407,271,500.7534323397095,2003.013729358838,432,4158,3.6319376080378047,1
5190,446,645,851,1157.2130313818627,4628.852125527451,1784,4158,6.425829661561209,2
5191,263,476,449,705.227622828261,2820.910491313044,1052,4158,4.50217976275708,2
5192,754,549,717,1176.437843661959,4705.751374647836,3016,4701,6.507650462625299,2
5193,536,745,1286,1579.9104404997138,6319.641761998855,2144,4701,8.224829834766783,3
5194,119,560,321,656.3550868241977,2625.4203472967906,476,4701,4.294178249523786,1
5195,695,821,710,1288.8622889975484,5155.4491559901935,2780,4701,6.986128901973566,2
5196,683,779,696,1248.0969513623531,4992.387805449413,2732,3533,6.812631624998176,2
5197,475,471,489,828.605454966355,3314.42181986542,1900,3533,5.027275816336808,2
5198,380,649,577,947.9082234056207,3791.6328936224827,1520,3533,5.535028398814323,2
5199,102,313,388,508.83887430108956,2035.3554972043582,408,3533,3.666349249025438,1
5200,193,347,654,765.0973794230379,3060.3895176921515,772,1199,0.8433891565276829,2
5201,180,364,30,407.1805496336975,1628.72219853479,720,1199,0.7865805604921395,1
5202,0,10,0,10.0,40.0,0,1199,0.0,1
5203,13,11,3,17.291616465790582,69.16646586316233,52,1199,0.056808596035543404,1
5204,261,152,43,305.08031729365956,1220.3212691746382,1044,507,1.1405418127136022,1
5205,41,27,26,55.5517776493246,222.2071105972984,164,507,0.1791655721120984,1
5206,23,106,1,108.47119433287347,433.88477733149386,92,507,0.1005075160628845,1
5207,12,5,36,38.27531841800928,153.1012736720371,48,507,0.052438704032809286,1
5208,14,18,18,29.0516780926679,116.2067123706716,56,153,0.06117848803827751,1
5209,9,8,0,12.041594578792296,48.16637831516918,36,153,0.03932902802460697,1
5210,9,15,2,17.60681686165901,70.42726744663604,36,153,0.03932902802460697,1
5211,60,68,28,94.91048414163738,379.64193656654953,240,153,0.2621935201640465,1
5212,8,6,23,25.079872407968907,100.31948963187563,32,53,0.034959136021872866,1
5213,7,9,18,21.307275752662516,85.22910301065006,28,53,0.030589244019138755,1
5214,1,0,7,7.0710678118654755,28.284271247461902,4,53,0.004369892002734108,1
5215,0,0,0,0.0,0.0,0,53,0.0,1
5216,1,0,6,6.082762530298219,24.331050121192877,4,75,0.004369892002734108,1
5217,1,1,12,12.083045973594572,48.33218389437829,4,75,0.004369892002734108,1
5218,22,0,53,57.38466694161429,229.53866776645717,88,75,0.09613762406015038,1
5219,0,0,0,0.0,0.0,0,75,0.0,1
5220,0,0,5,5.0,20.0,0,42,0.0,1
5221,0,0,3,3.0,12.0,0,42,0.0,1
5222,0,0,15,15.0,60.0,0,42,0.0,1
5223,2,15,13,19.949937343260004,79.79974937304002,8,42,0.008739784005468217,1
5224,12,7,0,13.892443989449804,55.569775957799216,48,114,0.052438704032809286,1
5225,0,0,0,0.0,0.0,0,114,0.0,1
5226,0,0,18,18.0,72.0,0,114,0.0,1
5227,7,2,82,82.32253640407346,329.29014561629384,28,114,0.030589244019138755,1
5228,0,0,12,12.0,48.0,0,372,0.0,1
5229,25,34,176,180.98894993893964,723.9557997557586,100,372,0.10924730006835269,1
5230,13,0,18,22.20360331117452,88.81441324469807,52,372,0.056808596035543404,1
5231,29,16,154,157.52142711390093,630.0857084556037,116,372,0.12672686807928912,1
5232,44,25,180,186.9786084021378,747.9144336085512,176,480,0.19227524812030075,1
5233,16,3,151,151.87494855966207,607.4997942386483,64,480,0.06991827204374573,1
5234,8,1,64,64.50581369148055,258.0232547659222,32,480,0.034959136021872866,1
5235,31,10,70,77.20751258783046,308.83005035132186,124,480,0.13546665208475736,1
5236,4,1,127,127.06691150728422,508.26764602913687,16,379,0.017479568010936433,1
5237,40,14,135,141.4955829699288,565.9823318797152,160,379,0.17479568010936433,1
5238,35,3,72,80.11242100947892,320.4496840379157,140,379,0.15294622009569378,1
5239,5,0,30,30.4138126514911,121.6552506059644,20,379,0.02184946001367054,1
5240,8,5,44,45.0,180.0,32,611,0.034959136021872866,1
5241,36,10,152,156.52475842498527,626.0990336999411,144,611,0.15731611209842788,1
5242,25,14,97,101.14346246792226,404.57384987168905,100,611,0.10924730006835269,1
5243,97,30,292,309.1488314711864,1236.5953258847455,388,611,0.4238795242652085,1
5244,35,0,127,131.73458164050928,526.9383265620371,140,182,0.15294622009569378,1
5245,7,4,29,30.099833886584822,120.39933554633929,28,182,0.030589244019138755,1
5246,0,0,21,21.0,84.0,0,182,0.0,1
5247,0,0,0,0.0,0.0,0,182,0.0,1
5248,0,0,0,0.0,0.0,0,187,0.0,1
5249,0,0,0,0.0,0.0,0,187,0.0,1
5250,113,26,147,187.22713478553263,748.9085391421305,452,187,0.4937977963089542,1
5251,0,0,0,0.0,0.0,0,187,0.0,1
