	Participant	Activity	OC_METs	TimeSec	Mean_AGhipX	Var_AGhipX	Mean_AGhipY	Var_AGhipY	Mean_AGhipZ	Var_AGhipZ
71	1	Test	1	2160	0.9940000000000001	0.00044100000000000004	-0.067	0.0038439999999999998	-0.21100000000000002	0.007396
72	1	Test	1	2190	0.982	0.000324	-0.08	0.006241	-0.255	0.010404
73	1	Test	1	2220	1.006	0.000144	0.044000000000000004	0.002916	-0.064	0.0046240000000000005
74	1	Test	1	2250	0.977	0.00028900000000000003	-0.113	0.0024010000000000004	-0.28800000000000003	0.005184
75	1	Test	1	2280	0.971	0.000625	-0.113	0.002809	-0.309	0.005929
76	1	Test	1	2310	1.0	0.000121	-0.053	0.001024	-0.18	0.0024010000000000004
77	1	Test	1	2340	0.988	0.00028900000000000003	-0.094	0.002209	-0.24600000000000002	0.0043560000000000005
78	1	Test	1	2370	0.992	0.0001	-0.07400000000000001	0.001296	-0.243	0.001369
79	1	Test	1	2400	0.9890000000000001	0.000225	-0.098	0.002601	-0.23800000000000002	0.0049
80	1	Test	1	2430	0.9890000000000001	0.000324	-0.105	0.004489	-0.223	0.007744
81	1	Test	1	2460	0.998	0.000361	-0.079	0.003249	-0.185	0.007225
82	1	Test	1	2490	1.01	4.9e-05	-0.047	0.000676	-0.121	0.0008410000000000001
83	1	Test	1	2520	0.987	0.000484	-0.11	0.0033640000000000002	-0.242	0.007568999999999999
84	1	Test	1	2550	0.996	0.000324	-0.071	0.002916	-0.19699999999999998	0.006889
85	1	Test	1	2580	1.008	2.5e-05	-0.055999999999999994	0.000324	-0.142	0.00044100000000000004
86	1	Test	1	2610	1.004	8.1e-05	-0.105	0.0009609999999999999	-0.158	0.0011560000000000001
87	1	Test	1	2640	1.0	8.1e-05	-0.102	0.001936	-0.188	0.0016
88	1	Test	1	2670	1.005	2.5e-05	-0.1	0.00044100000000000004	-0.165	0.000324
89	1	Test	1	2700	0.9840000000000001	0.000676	-0.08800000000000001	0.002916	-0.264	0.005929
90	1	Test	1	2730	0.985	0.000225	-0.08199999999999999	0.002116	-0.258	0.007225
91	1	Test	1	2760	1.011	3.6e-05	-0.040999999999999995	0.00028900000000000003	-0.11199999999999999	0.000729
92	1	Test	1	2790	0.998	0.000196	-0.08800000000000001	0.002209	-0.19	0.0053289999999999995
93	1	Test	1	2820	1.008	0.0001	-0.046	0.0016809999999999998	-0.122	0.002704
94	1	Test	1	2850	1.0	0.000169	-0.078	0.001936	-0.18	0.004225
95	1	Test	1	2880	1.002	0.000169	-0.069	0.001936	-0.17300000000000001	0.003025
96	1	Test	1	2910	0.987	0.00028900000000000003	-0.1	0.002116	-0.248	0.0043560000000000005
97	1	Test	1	2940	1.008	0.0001	-0.051	0.0011560000000000001	-0.124	0.002601
98	1	Test	1	2970	1.005	8.1e-05	-0.002	0.002304	-0.147	0.001225
99	1	Test	1	3000	0.95	0.002116	-0.092	0.010404	-0.34299999999999997	0.016384
100	1	Test	1	3030	0.915	0.002025	-0.094	0.006241	-0.441	0.010201
101	1	Test	1	3060	0.9620000000000001	0.000324	-0.024	0.002601	-0.349	0.002601
